epoch,step,test_loss,train_loss
0,49,,0.01584305241703987
0,99,,0.005830325651913881
0,149,,0.0020302312914282084
0,199,,0.0009457668056711555
0,249,,0.0019611213356256485
0,299,,0.001057980116456747
0,349,,0.0019912393763661385
0,399,,0.0010532557498663664
0,449,,0.0018780325772240758
0,499,,0.0009745345450937748
0,549,,0.0006215034518390894
0,599,,0.0010998081415891647
0,649,,0.0005381297087296844
0,699,,0.0010148516157642007
0,749,,0.0005737697356380522
0,799,,0.0006030952208675444
0,849,,0.0003822529688477516
0,899,,0.0005653304397128522
0,949,,0.0003366558230482042
0,999,,0.000638113880995661
0,1049,,0.00020979385590180755
0,1099,,0.00018311738676857203
0,1149,,0.0002628494403325021
0,1199,,0.00021645467495545745
0,1249,,0.0002625388151500374
0,1299,,0.0003196069737896323
0,1349,,0.00041450606659054756
0,1399,,0.00017321044288109988
0,1449,,0.00018299100338481367
0,1499,,0.00014724383072461933
0,1549,,0.00015561205509584397
0,1599,,0.0002041962434304878
0,1649,,0.00011143312440253794
0,1699,,0.00018195758457295597
0,1749,,0.0001288152561755851
0,1799,,0.00010660442057996988
0,1836,0.00015858396363910288,
